වචනය,"සමාන පදමාලාව"
ආමාශය,"[නා.] ගලනාලයේ අග සහ කුඩා බඩවැල අතර පවතිමින් ආහාර පැසවීමේ කාර්යය කරන මල්ලක් වැනි අවයවය; ආහාර බොක්ක."
ආමාශයික,"[වි.] ආමාශය පිළිබඳ; ආමාශය හා සම්බන්ධ; ජඨරීය."
"ආමාශයික යුෂය","(පාරිභා.) [නා.] ආමාශයේ ස්‍රාවණය; ආහාර දිරවීමට උපකාර වන දියර; ජඨරීය යුෂය (=gastric juice)."
"ආමිස දානය","[නා.] කෑම්බීම්, ඇඳුම් පැලඳුම්, යාන වාහනාදි වස්තු දන් දීම."
"ආමිස පූජාව","[නා.] චීවරාදි සිවුපසය පිදීම."
"ආමිස ලාභය","[නා.] වස්තු ලාභය; ධන ලාභය."
"ආමිසය, ආමිෂය","1. [නා.] ආහාරය; පරිභෝග වස්තු; (භික්ෂූන් සඳහා) සිවුපසය වැනි ලෞකික අවශ්‍යතා.
2. [නා.] ලාභ ප්‍රයෝජනය; වාසිය.
3. [නා.] පංචකාම වස්තු."
ආමුක්ත,"[වි.] පැලඳ ගත්; බඳින ලද.
[නා.ප්‍ර.] අඳින ලද වස්ත්‍රය; යුද්ධයෙහි ඇඳගත් වස්ත්‍රාභරණාදිය."
ආමෘෂ්ට,"[වි.] ආමර්ශනය කරන ලද; ස්පර්ශ කරන ලද."
ආමෙන්,"[නි.] (ක්‍රිස්ති.) බොහෝ විට යාච්ඥාවකට පසු ව එසේ ම වේවා යන ප්‍රාර්ථනයෙන් යුක්ත ව කියනු ලබන ව්‍යවහාරය."
ආමෝදය,"1. [නා.] සතුට; සන්තෝෂය; සොම්නස; ආනන්දය.
2. [නා.] සුගන්ධය."
ආයත,"1. [වි.] දික් වූ; දීර්ඝ.
2. (පාරිභා.) [වි.] දීර්ඝ වෘත්තාකාර; දීර්ඝ චතුරස්‍රාකාර.
3. [වි.] දීර්ඝාකාර; දික් අතට පවත්නා (=longitudinal)."
"ආයත චතුරස්‍රය","[නා.] අභිමුව පැති දෙකක් ඉතිරි පැති දෙකට වඩා දික් වූ චතුරස්‍රය."
"ආයත නිම්නය","(පාරිභා.) [නා.] ප්‍රධාන කඳුවැටි විහිදීම හා සමාන්තර ව පවතින නිම්නය; ආයතගාමී නිම්නය."
"ආයත පණ්හි","[නා.ප්‍ර.] බුදු රජුන්ගේ දෙතිස් මහා පුරුෂ ලක්ෂණ අතුරින් එකක් වන පිරුණු දික් වූ විළුම් ඇති බව."
"ආයතන සංග්‍රහය","[නා.] රජයේ දෙපාර්තමේන්තු සංස්ථාදියේ පරිපාලන කටයුතු පිළිබඳ නීතිරීති ඇතුළත් ග්‍රන්ථය."
ආයතනය,"1. [නා.] වාසස්ථානය; නිවාසය.
2. [නා.] කිසියම් විශේෂ පොදු අරමුණක් සඳහා පිහිටුවා ගන්නා සංගමය හෝ සංවිධානය.
3. [නා.] මධ්‍යම යුගයේ ශ්‍රී ලංකාවේ අධ්‍යාපන කටයුතු සඳහා වෙන් වුණු ආගමික මූලස්ථානය.
4. [නා.] දෙවියන් පුදන තැන; පූජාසනය.
5. [නා.] රෝග නිදානය හෝ හේතුව.
6. (අභි.) [නා.] ආකාසනඤ්චායතන ආදි බ්‍රහ්ම තල.
7. (අභි.) [නා.] විදර්ශනා ඥානය වැඩීමට ආධාර වන සය වැදෑරුම් ඇස්, කන් ආදි අභ්‍යන්තර වූ ද, සය වැදෑරුම් රූප, ශබ්ද ආදි බාහිර වූ ද ධර්ම."
ආයත්ත,"1. [වි.] (යමක් කෙරෙහි) එල්බ පවතින; රඳා පවත්නා.
2. [වි.] අයත්; සතු.
3. [වි.] යටත්; හීලෑ; වසඟ."
"ආයති කාලය","[නා.] මතු කාලය; අනාගත කාලය."
ආයමුඛය,"1. [නා.] ඇතුළු වන දොරටුව; ප්‍රවේශද්වාරය.
2. [නා.] ආදායම් උපදින මාර්ගය."
ආයව්‍යය,"[නා.ප්‍ර.] ආදායම හා වියදම්; අයවැය."
ආයා,"[නා.] ළදරුවන් රැක බලා ගන්නා සේවිකාව; කුල කාන්තාවන්ගේ ආවතේවකාරිය."
"ආයා කටුව","[නා.] යතුරු කටුව; හැට්ට කටුව."
ආයාචක,"(පාරිභා.) [නා.ප්‍ර.] ආයාචනය කරන්නා; අයදින්නා (=pleader)."
ආයාචනය,"1. [නා.] ඉල්ලා සිටීම; අයැදුම.
2. (පාරිභා.) (නීති.) [නා.] කරුණු දැක්වීම; ඇපෑල (=plea)."
ආයාචිත,"[වි.] යාච්ඤා කරන ලද; අයදනා ලද; යදින ලද."
ආයාත,"1. [වි.] ආවා වූ; පැමිණියා වූ.
2. (පාරිභා.) [වි.] විදේශයෙන් ගෙනා හෙවත් ගෙන්වන ලද; ආනයනය කරන ලද (=imported)."
"ආයාත වෙළඳාම","(පාරිභා.) [නා.] පිටරටින් බඩු ගෙන්වීමෙන් කරන වෙළඳාම; ආනයන වෙළඳාම (=import trade)."
ආයාතය,"(පාරිභා.) [නා.ප්‍ර.] පිටරටින් ගෙන්වන ලද්ද; විදේශීය භාණ්ඩය; ආනයනය කරන ලද භාණ්ඩය (=import)."
ආයාසය,"1. [නා.] ශාරීරික හෝ මානසික වෙහෙස; මහන්සිය; විඩාව; තෙහෙට්ටුව.
2. [නා.] උත්සාහය."
ආයිත්තම,"1. [නා.] පලඳනාව; ආභරණය.
2. [නා.] ඇඳුම; වස්ත්‍රය."
"ආයු පරියෝසානය","[නා.] ජීවිත කාලයෙහි කෙළවර; ආයුෂ අවසානය."
"ආයු සන්තතිය","[නා.] ආයු ප්‍රමාණය; ආයු ප්‍රවාහය."
ආයුඃශ්‍රී,"[නා.ප්‍ර.] ආයු කාලය නමැති සම්පත; දීර්ඝායුෂ සම්පත."
ආයුක්ත,"1. [වි.] සම්බන්ධ; නියැළුණ.
2. [වි.] පවරන ලද; මෙහෙයුණු."
ආයුක්ෂය,"[නා.ප්‍ර.] උපන් භවයෙහි ජිවිත කාලය ක්ෂය වීම; ආයුෂ ගෙවී යෑම."
"ආයුධ සන්නද්ධ","[වි.] ආයුධයෙන් සැරසුණු; අවිගත්."
ආයුධය,"[නා.] කැපීම, පහරදීම වැනි කාර්යයන්ට යොදා ගන්නා මෙවලම; අවිය; සැත; ශස්ත්‍රය."
ආයුබෝවන්,"[නි.] බොහෝ කල් ජීවත් වේවා, දීර්ඝායු ලැබේවා යනුවෙන් කෙනෙකුට ආචාර කිරීමේදී ව්‍යවහාර කරනු ලබන පාඨය."
ආයුර්වේදය,"[නා.] දීර්ඝ ආයුෂ ලාභය පිළිබඳ වෛද්‍ය විද්‍යාව; පෙරදිග වෛද්‍ය ශාස්ත්‍රවලින් එකක නාමය."
ආයුරාරෝග්‍යය,"[නා.] දීර්ඝායු හා නිරෝගි බව."
ආයුෂය,"[නා.] ජීවත් වන කාලය."
ආයුෂ්මත්,"[වි.] (ශරීර ශක්තියෙන් යුක්ත ව දීර්ඝ ආයුෂ වළඳන යනු වාච්‍යාර්ථයි) වැඩිහිටි හා සම තත්ත්වයේ භික්ෂූන්ට ගෞරව වශයෙන් අන්‍යෝන්‍යව භාවිත වන ප්‍රියජනක ව්‍යවහාරයක්."
ආයුසංස්කාරය,"[නා.] ආයුෂය හෙවත් සත්ත්වයාගේ ජීවිතේන්ද්‍රිය : ආයුඵල දීමේ ශක්තිය."
ආයෝගය,"[නා.] එකට යෙදීම; එක්තැන් කිරීම; එකට බැඳීම."
ආයෝජනය,"1. [නා.] රැස් කිරීම.
2. [නා.] ළඟට ගෙන ඒම.
3. (පාරිභා.) (ව්‍යාපාරයක) [නා.] මුදල් යෙදීම; ව්‍යාපාරයක යොදන ලද මුදල; ධන වින්‍යාසය; ආයෝජිතය."
ආරක්ෂකයා,"[නා.] රැක බලා ගන්නා; භාරකාරයා; මුරකාරයා."
ආරක්ෂණය,"[නා.] ආරක්ෂා කිරීම; රැක ගැනීම."
ආරක්ෂාව,"[නා.] රැකීම; රැකවල; පිහිට; සරණ."
ආරක්ෂිත,"[වි.] ආරක්ෂාව ලද; රැකවල් කරන ලද; පරෙස්සම් වූ."
"ආරච්චි වසම","[නා.] ආරච්චි කෙනකුගේ පරිපාලනයට අයත් ප්‍රදේශය."
"ආරච්චි, ආරච්චිල","1. [නා.ප්‍ර.] මධ්‍යකාලීන ශ්‍රී ලංකාවේ සේවය කළ යුද්ධ නිලධාරියෙක්.
2. [නා.ප්‍ර.] මුදලි කෙනකු යටතේ සේවය කළ නිලධාරියෙක්; ගම්මුලාදෑනියා; ගම්මුලාදෑනින් කිහිප දෙනකුගේ ප්‍රධානයා.
3. [නා.ප්‍ර.] කාර්යාලයක සේවයේ නියුක්ත ජ්‍යෙෂ්ඨ කාර්යාල කාර්ය සහායකයා."
ආරණ්‍ය,"[වි.] වනයෙහි වූ; වනය පිළිබඳ වූ."
"ආරණ්‍ය සේනාසනය","[නා.] ආරණ්‍යවාසී භික්ෂූන් හිඳින, සැතපෙන තැන; ඔවුන්ගේ වාසස්ථානය; භික්ෂූන්ගේ වන සෙනසුන."
ආරනවා,"[ක්‍රි.] වැඩෙනවා; වර්ධනය වෙනවා; මහත් වෙනවා; තර වෙනවා."
"ආරබ්ධ වීර්යය","[නා.] පටන් ගන්නා ලද හෝ වඩන ලද හෝ වීර්යය."
ආරබාර,"[නා.ප්‍ර.] පිහිට ලබා ගනු සඳහා දෙවියන් කෙරෙහි වන පොරොන්දු; ඇප කැප වීම."
ආරමණය,"1. [නා.] සිත් පිනවීම; සිත් ඇලවීම.
2. [නා.] නවතින තැන; විශ්‍රාම ගන්නා ස්ථානය."
ආරම්භක,"[වි.] මුල්; මූලික; ප්‍රාරම්භ; පටන්ගන්නා වූ."
ආරම්භකයා,"[නා.] ආරම්භ කරන්නා; පටන් ගන්නා."
ආරම්මණය,"[නා.] අරමුණ."
ආරමාරුව,"1. (කථා.) [නා.] මාරු වීම; මාරු කිරීම; හුවමාරුව.
2. [නා.] අඬදබරය; කලහය."
"ආරය, ආරේ","[නා.] වර්ගය; ජාතිය; ප්‍රවේණිය; පරම්පරාව."
"ආරලු බූරලු","(කථා.) [නා.ප්‍ර.] වැදගැම්මක් නැති කථා; නිරර්ථක කථා; වැල්වටාරම් කථා."
"ආරවුල, ආරාවුල","[නා.] අවුල; වියවුල; අරගලය; කලහය."
ආර්ජවය,"[නා.] ඍජු බව; අවංක භාවය."
ආර්තවය,"[නා.] ස්ත්‍රීන්ගේ ඔසප් ලේ."
ආර්තවාණුව,"[ආර්තව+අණුව]
[නා.] ස්ත්‍රී බීජය; ඩිම්බය."
"ආර්ථික ක්‍රමය","(පාරිභා.) [නා.] සමාජයක මිල මුදල් හා ධන සම්පත් පාලනය කිරීමේ විධිය; අර්ථ පාලනය (=economy)."
"ආර්ථික නිදහස","(පාරිභා.) [නා.] තමන්ගේ අභිමතය පරිදි ධන සම්පත් පාලනය කර ගැනීමේ නිදහස (=economic freedom)."
"ආර්ථික විද්‍යාව","[නා.] ධන සම්පත්, සේවා නිෂ්පාදනය හා බෙදා හැරීම ද ධන සම්පත් වර්ධනය ද පිළිබඳ උගන්වන විද්‍යාව; අර්ථ ශාස්ත්‍රය."
ආර්ද්‍ර,"1. [වි.] තෙත් වූ; තෙමුණු.
2. [වි.] අමු; නොවියළි.
3. [වි.] අලුත්; නව."
ආර්ද්‍රතාමානය,"(පාරිභා.) [නා.] වායුවෙහි ඇති තෙතමන ප්‍රමාණය මැනීමේ උපකරණයක් (=hygrometer)."
ආර්ද්‍රතාව,"(පාරිභා.) [නා.] වායුවේ තෙතමනය (=humidity)."
"ආර්ය අෂ්ටාංගික මාර්ගය","[නා.] අති උතුම් වූ මාර්ගය; සම්මා දිට්ඨි ආදි අංග අටකින් යුත් නිර්වාණ මාර්ගය."
"ආර්ය ධර්ම","[නා.ප්‍ර.] මාර්ගඵල ධ්‍යාන විදර්ශනාදි උත්තම ධර්ම."
"ආර්ය ඵලය","[නා.] උතුම් වූ හෙවත් ශ්‍රේෂ්ඨ වූ ඵලය; නිවන කරා පවතින සෝතාපත්ති, සකෘදාගාමි, අනාගාමි, අරහත් යන සතර ඵලය."
"ආර්ය භාෂාව","[නා.] ඉන්දු යුරෝපීය භාෂා පවුලට අයත් භාෂාව."
"ආර්ය මාර්ගය","[නා.] උතුම් වූ මාර්ගය; අත්‍යුත්තම මාර්ගය; සෝතාපත්ති ආදියෙන් යුක්ත නිර්වාණ මාර්ගය."
"ආර්ය ශ්‍රාවකයා","[නා.] නිර්වාණ මාර්ගයෙහි යටත් පිරිසෙයින් පළමු ඵලය වන සෝතාපත්තියටවත් පැමිණි තැනැත්තා."
"ආර්ය ශීලය","[නා.] ආර්ය භාවයට හේතු වන ශීලය; කල්‍යාණ පෘථග්ජනයන්ගේ චතුර්විධ පාරිශුද්ධි ශීලය."
"ආර්ය සත්‍යය","[නා.] බුද්ධාදි ආර්යයන් විසින් අවබෝධ කොට වදාළ සත්‍යය; චතුරාර්ය සත්‍යය."
"ආර්ය සිංහල","[වි.] විදේශීය සිරිත් විරිත් ආදියෙන් සංකර නොවූ නියම පිරිසිදු සිංහල ගති පැවතුම් ඇති."
ආර්යාව,"[නා.] උත්තමාංගනාව; උත්තමිය; කුල කාන්තාව."
ආර්ෂ,"[වි.] සෘෂිවරයකු විසින් භාවිත කරන ලද; සෘෂිවරයකු පිළිබඳ.
1. [නා.ප්‍ර.] සෘෂීන්ගේ භාෂාව; ජෛන සූත්‍රයන්ගේ භාෂාව.
2. [නා.ප්‍ර.] ආර්ෂ විවාහය."
"ආර්ෂ විවාහය","[නා.] පුරාණ භාරතයේ පැවති අෂ්ටවිධ විවාහයන්ගෙන් එකක්; සෘෂිවරයන්ගෙන් පැවත ආ විවාහ ක්‍රමයක්; මනාලයාගෙන් ගව ජෝඩුවක් ලබා ගෙන දියණිය විවාහ කරදීමේ චාරිත්‍රය සිදුවන ක්‍රමය."
ආරාමය,"1. [නා.] ප්‍රීතිය; සොම්නස.
2. [නා.] උයන; උද්‍යානය.
3. [නා.] භික්ෂූන් හෝ තවුසන් හෝ වසන නිවස්න."
ආරාවාර,"[වි.] කලාතුරකින් සිදුවන; විරල."
"ආරිය, ආර්ය","1. [නා.ප්‍ර.] ඈත අතීතයෙහි වයඹ දිග ගිරි දුර්ග ඔස්සේ උතුරු ඉන්දියාවට සංක්‍රමණය කළ මනුෂ්‍ය වර්ගය.
2. [නා.ප්‍ර.] ඔවුන් කථා කළ භාෂා ගණය.
3. [නා.ප්‍ර.] උත්තමයා; ශ්‍රේෂ්ඨයා.
4. [නා.ප්‍ර.] බුද්ධ ශ්‍රාවකයා.
5. [නා.ප්‍ර.] ස්වාමියා; ගුරුවරයා; මිත්‍රයා."
"ආරු නූල","1. [නා.] මැණිකක් තුළ පිහිටන නූල් සයක් සේ පෙනෙන වයිරම.
2. [නා.] එක් තැනකින් විහිදෙන නූල් හයක් මෙන් වයිරම ඇති මැණික් වර්ගයක නාමය."
ආරුක්කුව,"1. [නා.] බිත්ති හෝ කුලුනු දෙකක් සම්බන්ධ වන පරිදි ඉහළින් අර්ධ කවාකාර හැඩය සිටින සේ කරන නිර්මාණය; බෝක්කුව.
2. [නා.] අර්ධ කවාකාරව නමන ලද උණ පතුරු වැනි නම්‍යශීලී දැව දඬුවක ගොක් රැහැන් බැඳ තනන සැරසිල්ල."
ආරූඪ,"1. [වි.] නැඟුණු; ආරෝහණය කළ.
2. [වි.] ආවේශ වුණු; වැහුණු.
3. (ව්‍යාක.) [වි.] වාච්‍යාර්ථ නොවන; ආරෝපිත.
4. [වි.] සඳහන් කරන ලද; අන්තර්ගත.
1. [නා.ප්‍ර.] නැඟීම; ආරෝහණය; අරා සිටීම.
2. [නා.ප්‍ර.] යක්ෂ භූතාදීන් වැහීම; ආවේශය."
"ආරූඪ නාමය","[නා.] නියම නම වෙනුවට යොදා ගන්නා නම; බොරු නම."
"ආරූඪ බදුකුලිය","(පාරිභා.) [නා.] භූමිය හැර අනෙක් නිෂ්පාදන සාධකවලට ලැබෙන අතිරික්ත ආදායම (=quasi rent)."
ආරූඪාර්ථය,"[නා.] ආරෝපණය කර ගත් තේරුම; වාච්‍යාර්ථයට අනුකූල නොවූ අර්ථය."
"ආරෙට යනවා","(කථා.) [ක්‍රි.] පාරම්පරිකව එන ගතිගුණ හා අංගලක්ෂණ පිහිටනවා; පරම්පරාවෙන් පරම්පරාවට පැවත යනවා."
ආරෝග්‍යය,"[නා.] ලෙඩින් තොර බව; නිරෝග බව; සනීපය."
ආරෝචනය,"[නා.] සැල කිරීම; දන්වා සිටීම; ප්‍රකාශ කිරීම."
ආරෝපණය,"1. [නා.] නැංවීම; නැඟීම; උස්සා තැබීම.
2. [නා.] දෝෂයක් යමකු පිට පැවරීම; ගුණයක් හෝ අගුණයක් ආරූඪ කිරීම.
3. [නා.] පැළ කිරීම; සිටුවීම.
4. (පාරිභා.) [නා.] විදුලිබලය කැවීම; විදුලිය පිරවීම (=charge)."
"ආරෝහ පරිණාහය","[නා.] උස හා ඊට සරිලන මහත; උස මහත."
ආරෝහක,"1. [වි.] නඟින; ඉහළට යන.
2. [වි.] ඇත්, අස් ආදින් පිට යන."
ආරෝහණ,"[වි.] නඟින; ක්‍රමයෙන් වැඩි වන."
"ආරෝහණ කෝණය","(පාරිභා.) [නා.] නිරීක්ෂකයාගේ සිරස්තලයට උඩින් පිහිටි යම්කිසි ලක්ෂ්‍යයක සිට වැඩෙන රේඛාවක් තිරස් රේඛාවට හමු වීමෙන් ඇති වන සිරස් කෝණය (=angle of elevation)."
"ආරෝහණ පටිපාටිය","(පාරිභා.) [නා.] වටිනාකම හෙවත් බලය ඉතාමත් අඩු රාශියෙන් පටන් ගෙන එය ක්‍රමයෙන් වැඩි වන රාශි අනුපිළිවෙළින් දැක්වීම (=ascending order)."
ආරෝහණය,"1. [නා.] නැඟීම; ඇත්, අස් ආදින්ගේ පිට මතට නැඟීම.
2. [නා.] ඉණිමඟ, පියගැට පෙළ.
3. (සංගී.) [නා.] පහත් ස්වරයකින් අරඹා ඉහළ ස්වර කරා යන ගායනය හෝ වාදනය.
4. (පාරිභා.) [නා.] උන්නතාංශය (=elevation)."
ආරෝහය,"1. [නා.] උඩට යෑම; නැඟීම.
2. [නා.] උඩඟුකම; ආඩම්බරය.
3. [නා.] උස; දිග.
4. (සංගී.) [නා.] ආරෝහණය."
"ආල බඳිනවා","[ක්‍රි.] ආලය කරනවා; ආදරය උපදවනවා; පෙම් බඳිනවා."
ආලකමන්දා,"[නා.ප්‍ර.] කුවේරයාගේ රාජධානියේ නාමය; අලකාපුරය."
ආලග්න,"[වි.] ඇලුණු; ආසක්ත."
ආලත්ති,"1. [නා.ප්‍ර.] දේව ප්‍රතිමා හෝ රාජප්‍රභූන් හෝ ඉදිරියෙහි ආශීර්වාද හා ගෞරව පිණිස පේ කරනු ලබන දැල්වූ පහන.
2. [නා.ප්‍ර.] දැල්වූ පහන් ගෙන දේවාලවල සහ දළදා මාලිගයෙහි කෙරෙන පූජා විධිය.
3. [නා.ප්‍ර.] ආවැඩීම; ආශීර්වාදය."
"ආලත්ති බානවා","[ක්‍රි.] දැල්වූ පහන් පේ කිරීමෙන් ගෞරව කරනවා; ආශීර්වාද කරනවා; ආලත්ති තේවාව පවත්වනවා."
ආලපනය,"[නා.] ඇමතීම; ආමන්ත්‍රණය."
"ආලම්බන දණ්ඩ","[නා.] නැගිට සිටීම, පා ගමන ආදියට වාරු සඳහා යොදා ගනු ලබන දණ්ඩ; සැරයටිය; හැරමිටිය."
ආලම්බනය,"1. [නා.] එල්බෙන දෙය; ආධාරය; පිටිවහල.
2. [නා.] එල්ලීම.
3. (අභි.) [නා.] ආරම්මණය; භාවනාව සඳහා අරමුණ."
ආලම්බය,"1. [නා.] දරා සිටින දෙය; ආධාරකය; පිටුවහල.
2. [නා.] ලම්බ සූත්‍රය; ලඹ කැටය."
ආලය,"1. [නා.] ගෘහය; නිවාසය; වාසස්ථානය.
2. [නා.] ඇල්ම; ආශාව; ආදරය; ප්‍රේමය.
3. (ජ්‍යෝති.) [නා.] කේන්ද්‍රයක සතර වන ස්ථානය; බන්ධු ස්ථානය."
"ආලය විඥානය","[නා.] සියලු කුශලාකුශල ධර්ම බීජවලට නිවාසස්ථාන වූ විඥානය."
ආලවට්ටම්,"[නා.ප්‍ර.] දිග මිටක් සහිත වටාපත් විශේෂයක්; අවු අත්ත."
ආලවාලය,"[නා.] ජලය රඳවා ගැනීම පිණිස ගස් වැල් ආදියෙහි මුල වටේ සාදන ජලතලාව; තෝතැන්න."
"ආලස, ආලස්‍ය","[වි.] අලස; කම්මැළි."
ආලානය,"[නා.] ඇතුන් බඳින ටැඹ."
ආලාපනය,"[නා.] (අමතා කරන) කථාව; කතාබහ."
ආලාපය,"1. [නා.] කථාව; වචනය; කතාබහ; සම්භාෂණය.
2. [නා.] පක්ෂීන්ගේ රාවය හෙවත් නාදය.
3. (සංගී.) [නා.] ගීත ගායනයට අයත් ස්වර සමුදාය ගායනය කිරීම.
4. [නා.] විලාපය; ළතෝනිය; අඳෝනාව."
ආලි,"1. [නා.ප්‍ර.] මීමැස්සා.
2. [නා.ප්‍ර.] කෙත්වල නියර.
3. [නා.ප්‍ර.] පෙළ; සන්තතිය."
"ආලිංගනය, ආලිඞ්ගනය","[නා.] වැලඳගැනීම; ස්නේහයෙන් බදා ගැනීම."
ආලින්දය,"1. [නා.] පිළ; ඉස්තෝප්පුව.
2. [නා.] මේරු පර්වතය හාත්පස ඇතැයි කියන උස් තැනිතලා බිම."
ආලිප්ත,"[වි.] ආලේප කරන ලද; තැවරූ."
ආලිබන්ධනය,"[නා.] වැටිය; වේල්ල."
ආලිම්පනය,"1. [නා.] ගිනි ගැන්වීම; ගිනි දැල්වීම.
2. [නා.] ආලේප කිරීම; ගෑම."
"ආලිස්සම්, ආලෙස්සම්","1. [වි.] අලස; කම්මැළි.
2. [වි.] නොසලකා හැරිය යුතු.
3. [වි.] අවිනිශ්චිත; දෙගිඩියා.
1. [නා.ප්‍ර.] අලස භාවය; කම්මැළිකම.
2. [නා.ප්‍ර.] නොසැලකිලිමත් බව.
3. [නා.ප්‍ර.] සරදම්; සමච්චල්."
ආලීඪය,"[නා.] (දුන්නෙන් විදීම සඳහා) අර ඇඳ සිටීමේ ඉරියව්ව."
ආලීන,"[වි.] ඇලුණු; නිවෙස් කළ."
ආලුව,"1. [නා.] කොතලය.
2. [නා.] අලය; කන්දය."
ආලුළිත,"[වි.] කැලඹුණු; කැලතුණු; ව්‍යාකූල වූ."
ආලේඛනය,"[නා.] ලිවීම; ඇඳීම; සිතුවම් කිරීම."
ආලේඛය,"[නා.] ලිවීම."
"ආලේඛ්‍ය පට්ටය","1. [නා.] සිතුවම් කිරීමට පාවිච්චි කරන රෙද්ද; අලෙවු පට.
2. [නා.] සිතියම් කළ රෙද්ද."
ආලේඛ්‍යය,"1. [නා.] ලිවීම.
2. [නා.] සිතුවම.
3. [නා.] සිතුවම් ඇඳීම."
"ආලේප තෛලය","[නා.] (ක්‍රිස්ති.) අභිෂේක තෛලය; ශුද්ධ තෛලය."
"ආලේපනය, ආලේපය","1. [නා.] ගෑම; තැවරීම; ගැල්වීම.
2. [නා.] ගාන දෙය; ආලේප කරන දෙය."
"ආලෝක කදම්බය","[නා.] ආලෝක ධාරාව."
"ආලෝක කරනවා","[ක්‍රි.] එළිය කරනවා; දීප්තිමත් කරනවා; රැස් විහිදුවනවා."
"ආලෝක කිරණ","[නා.බහු.] ආලෝක කදම්බ; ආලෝක රශ්මි; ආලෝක ධාරා."
"ආලෝක තරංගය","(පාරිභා.) [නා.] තරංග වශයෙන් ගමන් කරන ආලෝකය (=light wave)."
"ආලෝක පරාවර්තනය","(පාරිභා.) [නා.] ආලෝකය කිසියම් වස්තුවකට වැටී ආපසු හැරී ඒම (=reflection of light)."
"ආලෝක පුඤ්ජය","[නා.] ආලෝක ධාරා සමූහය."
"ආලෝක මණ්ඩලය","1. [නා.] කමටහන් වැඩීමෙහි උපයෝගී කර ගනු ලබන ආලෝක චිහ්නය.
2. [නා.] (ඉර, හඳ, තාරකා වැනි) ආලෝකවත් (ආකාශ) වස්තුව.
3. (පාරිභා.) [නා.] ආලෝකවත් වස්තුවක් වටා ඇති වන රැස් වළල්ල; ප්‍රභා මණ්ඩලය."
"ආලෝක රෝධක","(පාරිභා.) [වි.] ආලෝකය ඇතුළු වීම වළක්වන; ආලෝකය ඇතුළු නොවන (=light-tight)."
"ආලෝක වර්ෂය","(පාරිභා.) [නා.] දොළොස් මස් කාලයක් තුළ ආලෝකය ගමන් කරන දුර ප්‍රමාණය; සැතපුම් 58,80,000000,000 යනුවෙන් දක්වන දුර ප්‍රමාණය; මෙය ආකාශ වස්තූන්ට ඇති දුර මැනීමේ මිනුම් ඒකකයක් ලෙස භාවිත වේ (=light year)."
"ආලෝක ශලාකාව","(පාරිභා.) [නා.] ආලෝක රශ්මි සමූහය (=beam of light)."
"ආලෝක සන්ධිය","[නා.] වා කවුළුව; ජනේලය."
ආලෝකචිත්‍ර,"[නා.ප්‍ර.] එපිඩයස්කෝපයෙන් තිරයක වැටෙන්නට සලස්වනු ලබන චිත්‍රය."
ආලෝකන,"1. [නා.ප්‍ර.] ඉදිරිපස බැලීම.
2. [නා.ප්‍ර.] බලන ආකාරය."
ආලෝකය,"[නා.] එළිය, දීප්තිය; ප්‍රභාව."
ආලෝක්‍යය,"[නා.] දැකීම; බැලීම; නිරීක්ෂණය."
ආලෝකිත,"1. [වි.] බලන ලද.
2. [වි.] බබුළුවන ලද; ආලෝක කරන ලද."
ආලෝචනය,"1. [නා.] දැකීම; බැලීම.
2. [නා.] පරීක්ෂා කිරීම; සලකා බැලීම; සොයා බැලීම; විමසීම."
"ආලෝටනය, ආලෝඩනය","[නා.] කැලඹීම; කැලතීම."
ආලෝපය,"1. [නා.] අහරපිඬ; බත්පිඬ.
2. කොල්ලකෑම; මං පැහැරීම."
"ආලෝල, ආලෝළන","[වි.] චංචල වන්නා වූ; කම්පිත වන්නා වූ.
[නා.ප්‍ර.] ඇලළීම; කැලඹීම; කම්පාව."
"ආලෝලනය කරනවා, ආලෝළනය කරනවා","1. [ක්‍රි.] අලළනවා; කලඹනවා; කලබල කරනවා; කම්පා කරනවා.
2. කලඹා සාරය උකහා ගන්නවා.
3. සියුම් ලෙස පරීක්ෂා කරනවා.
4. නිර්මථනය කරනවා; මඬිනවා; වනසනවා."
ආවට්ට,"[වි.] වටේට කරකැවුණු; ආපසු හැරී ගිය; පෙරළී ගිය."
ආවට්ටනය,"1. [නා.] පොලඹවා ගැනීම; වසඟ කිරීම.
2. [නා.] කරකැවීම; හැරවීම; පෙරළීම; ආවර්තනය."
ආවට්ටය,"[නා.] දිය සුළිය; සළාව."
ආවඩනවා,"1. [ක්‍රි.] දීර්ඝායුෂ ප්‍රාර්ථනා කරනවා; දිගාසිරි පතනවා.
2. [ක්‍රි.] ලාභ ප්‍රයෝජන තකා කෙනෙකුගේ අදහස අනුමත කරමින් එයට එකඟ වෙනවා."
ආවත්ථික,"[නා.ප්‍ර.] (එක ම පුද්ගලයකුගේ හෝ එක ම සත්ත්වයකුගේ) ඒ ඒ අවස්ථාව සලකා තැබූ නාමය;- කුමාර, යුව, ථෙර ආදි වශයෙනි."
ආවතේවකාරයා,"1. [නා.] උපස්ථායකයා; සේවය කරන්නා; මෙහෙවර කරන්නා.
2. [නා.] ගෝලයා; යටහත් තැනැත්තා."
ආවතේවය,"[නා.] උපස්ථානය; මෙහෙය; යටහත් සේවය."
